Llegada Futbol 59;5108,5259;;;5512,7744;0,4197;326,6052;5435,131;;;5706,9453;;;;5171,3294;Ocupada;4;;;889,1365;1168,3484;446,8986;9;7;7;27;0;En Espera;5106,7404;Futbol;Jugando;4877,0237;Handball;En Espera;4919,6359;Basket;En Espera;4965,746;Futbol;En Espera;5108,5259;Futbol;;;;10;
Fin Ocupacion 60;5171,3293;;;5512,7744;;;5435,131;;;5706,9453;Futbol;0,4342;88,684;5260,0134;Ocupada;3;;;889,1365;1373,9317;446,8986;9;8;7;27;0;En Espera;5106,7404;Futbol;Finalizo;4877,0237;Handball;En Espera;4919,6359;Basket;Jugando;4965,746;Futbol;En Espera;5108,5259;Futbol;;;;10;
Fin Ocupacion 61;5260,0134;;;5512,7744;;;5435,131;;;5706,9453;Futbol;0,2989;85,978;5345,9914;Ocupada;2;;;889,1365;1527,2047;446,8986;9;9;7;27;0;Jugando;5106,7404;Futbol;;;;En Espera;4919,6359;Basket;Finalizo;4965,746;Futbol;En Espera;5108,5259;Futbol;;;;10;
Fin Ocupacion 62;5345,9914;;;5512,7744;;;5435,131;;;5706,9453;Basket;0,6387;108,322;5454,3134;Ocupada;1;;;1315,4919;1527,2047;446,8986;10;9;7;27;0;Finalizo;5106,7404;Futbol;;;;Jugando;4919,6359;Basket;;;;En Espera;5108,5259;Futbol;;;;10;
Llegada Futbol 63;5435,131;;;5512,7744;0,1506;97,9513;5533,0823;;;5706,9453;;;;5454,3134;Ocupada;2;;;1315,4919;1527,2047;446,8986;10;9;7;28;0;En Espera;5435,131;Futbol;;;;Jugando;4919,6359;Basket;;;;En Espera;5108,5259;Futbol;;;;10;
Fin Ocupacion 64;5454,3134;;;5512,7744;;;5533,0823;;;5706,9453;Futbol;0,554;91,08;5545,3934;Ocupada;1;;;1315,4919;1872,9922;446,8986;10;10;7;28;0;En Espera;5435,131;Futbol;;;;Finalizo;4919,6359;Basket;;;;Jugando;5108,5259;Futbol;;;;10;
Llegada Basket 65;5512,7744;0,8255;558,1278;6070,9022;;;5533,0823;;;5706,9453;;;;5545,3934;Ocupada;2;;;1315,4919;1872,9922;446,8986;10;10;7;29;0;En Espera;5435,131;Futbol;En Espera;5512,7744;Basket;;;;;;;Jugando;5108,5259;Futbol;;;;10;
Llegada Futbol 66;5533,0823;;;6070,9022;0,9986;3967,1819;9500,2642;;;5706,9453;;;;5545,3934;Ocupada;3;;;1315,4919;1872,9922;446,8986;10;10;7;30;0;En Espera;5435,131;Futbol;En Espera;5512,7744;Basket;En Espera;5533,0823;Futbol;;;;Jugando;5108,5259;Futbol;;;;10;
Fin Ocupacion 67;5545,3934;;;6070,9022;;;9500,2642;;;5706,9453;Futbol;0,1024;82,048;5627,4414;Ocupada;2;;;1315,4919;1983,2545;446,8986;10;11;7;30;0;Jugando;5435,131;Futbol;En Espera;5512,7744;Basket;En Espera;5533,0823;Futbol;;;;Finalizo;5108,5259;Futbol;;;;10;
Fin Ocupacion 68;5627,4414;;;6070,9022;;;9500,2642;;;5706,9453;Basket;0,861;121,66;5749,1013;Ocupada;1;;;1430,1588;1983,2545;446,8986;11;11;7;30;0;Finalizo;5435,131;Futbol;Jugando;5512,7744;Basket;En Espera;5533,0823;Futbol;;;;;;;;;;10;
Llegada Handball 69;5706,9453;;;6070,9022;;;9500,2642;0,5909;741,8388;6448,7842;;;;5749,1013;Ocupada;2;;;1430,1588;1983,2545;446,8986;11;11;7;31;0;En Espera;5706,9453;Handball;Jugando;5512,7744;Basket;En Espera;5533,0823;Futbol;;;;;;;;;;10;
Fin Ocupacion 70;5749,1013;;;6070,9022;;;9500,2642;;;6448,7842;Futbol;0,8814;97,628;5846,7293;Ocupada;1;;;1430,1588;2199,2735;446,8986;11;12;7;31;0;En Espera;5706,9453;Handball;Finalizo;5512,7744;Basket;Jugando;5533,0823;Futbol;;;;;;;;;;10;
Fin Ocupacion 71;5846,7293;;;6070,9022;;;9500,2642;;;6448,7842;Handball;0,5623;99,361;5946,0903;Ocupada;0;;;1430,1588;2199,2735;586,6825;11;12;8;31;0;Jugando;5706,9453;Handball;;;;Finalizo;5533,0823;Futbol;;;;;;;;;;10;
Fin Ocupacion 72;5946,0903;;;6070,9022;;;9500,2642;;;6448,7842;;;;;Limpiando;0;181,39999999999398;6127,490299999994;1430,1588;2199,2735;586,6825;11;12;8;31;0;Finalizo;5706,9453;Handball;;;;;;;;;;;;;;;;10;Handball
