80350;0,3073;True;0,6462;Definitivamente si;17703
80351;0,8995;False;0,9742;Definitivamente si;17704
80352;0,5848;False;0,0487;Definitivamente no;17704
80353;0,7374;False;0,6531;Dudoso;17704
80354;0,4726;False;0,6781;Dudoso;17704
80355;0,3284;True;0,4469;Dudoso;17704
80356;0,7242;False;0,8501;Dudoso;17704
80357;0,2236;True;0,5694;Dudoso;17704
80358;0,2666;True;0,192;Definitivamente no;17704
80359;0,8805;False;0,036;Definitivamente no;17704
80360;0,717;False;0,7;Dudoso;17704
80361;0,208;True;0,4841;Dudoso;17704
80362;0,0463;True;0,3653;Dudoso;17704
80363;0,9362;False;0,8853;Dudoso;17704
80364;0,6521;False;0,7888;Dudoso;17704
80365;0,5485;False;0,1275;Definitivamente no;17704
80366;0,1047;True;0,598;Dudoso;17704
80367;0,2043;True;0,2902;Definitivamente no;17704
80368;0,4251;False;0,703;Dudoso;17704
80369;0,5439;False;0,2954;Definitivamente no;17704
80370;0,0331;True;0,3353;Dudoso;17704
80371;0,4887;False;0,5711;Dudoso;17704
80372;0,1787;True;0,5621;Dudoso;17704
80373;0,2598;True;0,989;Definitivamente si;17705
80374;0,626;False;0,2716;Definitivamente no;17705
80375;0,974;False;0,5684;Dudoso;17705
80376;0,2993;True;0,0931;Definitivamente no;17705
80377;0,5841;False;0,1365;Definitivamente no;17705
80378;0,6157;False;0,2026;Definitivamente no;17705
80379;0,5955;False;0,0075;Definitivamente no;17705
80380;0,4859;False;0,7444;Dudoso;17705
80381;0,8817;False;0,0782;Definitivamente no;17705
80382;0,4071;False;0,7764;Dudoso;17705
80383;0,3532;True;0,6917;Definitivamente si;17706
80384;0,0691;True;0,9892;Definitivamente si;17707
80385;0,0115;True;0,9987;Definitivamente si;17708
80386;0,3694;True;0,6576;Definitivamente si;17709
80387;0,3595;True;0,1097;Definitivamente no;17709
80388;0,7057;False;0,8752;Dudoso;17709
80389;0,5741;False;0,0783;Definitivamente no;17709
80390;0,7018;False;0,6683;Dudoso;17709
80391;0,7457;False;0,7793;Dudoso;17709
80392;0,7016;False;0,7674;Dudoso;17709
80393;0,9121;False;0,9232;Definitivamente si;17710
80394;0,8471;False;0,2525;Definitivamente no;17710
80395;0,1927;True;0,8089;Definitivamente si;17711
80396;0,0256;True;0,5394;Dudoso;17711
80397;0,8788;False;0,0574;Definitivamente no;17711
80398;0,6416;False;0,2959;Definitivamente no;17711
